table_simplimed_old;fieldname;table_simplimed_new;fieldname;comment;
Tabelle_PatientenWv;DAVChange;tbl_appoint_main;fld_dav_change;;
Tabelle_PatientenWv;Erinnerung;tbl_appoint_main;fld_reminder;;
Tabelle_PatientenWv;OnlTer;tbl_appoint_main;fld_online;;
Tabelle_PatientenWv;Erledigt;tbl_appoint_main;fld_finished;;
Tabelle_PatientenWv;Passiv;tbl_appoint_main;fld_passive;;
;;;;;
Tabelle_Abre;ID2;tbl_documentation_main;fld_id;will be reassigned;
Tabelle_Abre;Kommentar2;tbl_documentation_main;fld_guiid;will be reassigned;
Tabelle_Abre;IDP;tbl_documentation_main;fld_tenant_id;will be reassigned;
Tabelle_Abre;IDM;tbl_documentation_main;fld_entity_id;will be reassigned;
Tabelle_Abre;ID1;tbl_documentation_main;fld_typ_id;will be reassigned;only if [ID1] is < 10
Tabelle_Abre;ID0;tbl_documentation_main;fld_contact_id;will be reassigned;
Tabelle_Abre;Sorter;tbl_documentation_main;fld_sorter;;
Tabelle_Abre;Datum;tbl_documentation_main;fld_docdate;;
Tabelle_Abre;GONr;tbl_documentation_main;fld_identifier;;
Tabelle_Abre;Kommentar;tbl_documentation_main;fld_file;only if [ID1] = 105 or 105;
Tabelle_Abre;Kommentar;tbl_documentation_main;fld_longtext;only if [ID1] = 21 - 30 and 103, 107 and 108;
Tabelle_Abre;x;tbl_documentation_main;fld_number;;
Tabelle_Abre;Druckdatum;tbl_documentation_main;fld_time;;
Tabelle_Abre;Multi;tbl_documentation_main;fld_multiplier;;
Tabelle_Abre;Betrag;tbl_documentation_main;fld_unit_price;;
Tabelle_Abre;GesBetrag;tbl_documentation_main;fld_total_price;;
Tabelle_Abre;Steuer;tbl_documentation_main;fld_tax;;
Tabelle_Abre;Lock;tbl_documentation_main;fld_lock;;
Tabelle_Abre;Gedruckt;tbl_documentation_main;fld_print;;
Tabelle_Abre;Storniert;tbl_documentation_main;fld_passive;;
;;;;;
Tabelle_Abre;ID2;tbl_receipt_content;fld_id;will be reassigned;
Tabelle_Abre;Kommentar2;tbl_receipt_content;fld_guiid;will be reassigned;
Tabelle_Abre;IDP;tbl_receipt_content;fld_tenant_id;will be reassigned;
Tabelle_Abre;IDR;tbl_receipt_content;fld_receipt_id;will be reassigned;
Tabelle_Abre;IDM;tbl_receipt_content;fld_entity_id;will be reassigned;
Tabelle_Abre;ID1;tbl_receipt_content;fld_type_id;;only if [ID1] is > 10
Tabelle_Abre;ID4;tbl_receipt_content;fld_service_id;will be reassigned;
Tabelle_Abre;Sorter;tbl_receipt_content;fld_sorter;;
Tabelle_Abre;x;tbl_receipt_content;fld_number;;
Tabelle_Abre;Datum;tbl_receipt_content;fld_docdate;;
Tabelle_Abre;GONr;tbl_receipt_content;fld_identifier;;
Tabelle_Abre;IDKurz;tbl_receipt_content;fld_service_text;;
Tabelle_Abre;Multi;tbl_receipt_content;fld_multiplier;;
